Task,Baseline,claude-opus-4.6_best,deepseek-v3.2_best,gemini-3.1-pro-preview_best,glm-5_best,gpt-5.4_best,grok-4.20_best,qwen3-coder-next_best,seed-2.0-pro_best,,,,,,,,,,
JobShop_swv,81.6325,89.4966,82.3575,82.3141,87.1611,82.0472,85.5068,82.6129,82.4153,,,,,,,,,,
JobShop_ta,78.8,90.8322,84.9043,85.7065,86.8095,83.9694,84.9136,85.5489,83.9694,,,,,,,,,,
KernelEngineering_FlashAttention,55.2957,983.5001,987.2034,991.8896,381.6257,510.1126,324.919,525.5567,1218.5163,,,,,,,,,,
KernelEngineering_MLA,0.7828,1000.3859,0.8936,1253.2017,20.1972,18.6079,19.8651,0.9271,19.987,,,,,,,,,,
KernelEngineering_TriMul,47.1274,357.1636,85.5923,54.5774,110.8785,54.9872,165.0294,49.1232,84.9069,,,,,,,,,,
Optics_adaptive_fault_tolerant_fusion,0.3959,0.6398,0.64,0.6398,0.6398,0.6398,0.6398,0.6398,0.6398,,,,,,,,,,
Optics_adaptive_temporal_smooth_control,0.3152,0.8419,0.8419,0.8419,0.8417,0.8407,0.842,0.8421,0.8421,,,,,,,,,,
Optics_fiber_guardband_spectrum_packing,0.3861,0.6692,0.657,0.6629,0.6692,0.6559,0.6629,0.657,0.657,,,,,,,,,,
Optics_fiber_mcs_power_scheduling,0.3297,0.6542,0.5182,0.4796,0.6491,0.4565,0.4557,0.4458,0.6491,,,,,,,,,,
Optics_fiber_wdm_channel_power_allocation,0.3255,0.6675,0.6679,0.6619,0.6686,0.667,0.6664,0.6666,0.6654,,,,,,,,,,
Optics_holographic_multifocus_power_ratio,0.3927,0.8072,0.8265,0.5368,0.711,0.749,0.4058,0.5875,0.5626,,,,,,,,,,
Optics_holographic_multiplane_focusing,0.3302,0.6002,0.7196,0.4398,0.4516,0.4356,0.474,0.5631,0.5303,,,,,,,,,,
Optics_phase_dammann_uniform_orders,26.8969,99.7995,97.3436,97.9498,97.8709,98.6003,94.4055,95.9998,69.0576,,,,,,,,,,
Optics_phase_fourier_pattern_holography,32.6457,82.1276,74.5838,76.6371,76.0127,69.1107,74.217,67.3393,72.4578,,,,,,,,,,
PyPortfolioOpt_robust_mvo_rebalance,32.9804,99.9946,84.941,77.165,82.8015,81.9796,99.983,85.5194,83.0681,,,,,,,,,,
QuantumComputing_task_01_routing_qftentangled,0.209,5.0479,3.6155,0.209,3.7681,3.6783,3.7655,3.2471,3.6783,,,,,,,,,,
QuantumComputing_task_02_clifford_t_synthesis,1.7134,1.6633,1.7134,1.7134,7.4236,1.6633,1.6633,1.7134,1.7134,,,,,,,,,,
QuantumComputing_task_03_cross_target_qaoa,2.4149,2.5781,5.103,2.9782,5.0301,2.4149,2.6363,2.4517,2.9782,,,,,,,,,,
ReactionOptimisation_mit_case1_mixed,87.3082,98.6621,98.6041,96.5437,95.9314,98.3519,87.3082,95.3732,95.4297,,,,,,,,,,
ReactionOptimisation_reizman_suzuki_pareto,63.5202,82.3427,82.0329,79.473,82.9901,89.4591,63.5202,81.4666,79.7011,,,,,,,,,,
ReactionOptimisation_snar_multiobjective,57.5234,87.3657,82.7881,80.1521,81.7614,87.1299,72.3909,72.8477,79.427,,,,,,,,,,
Robotics_DynamicObstacleAvoidanceNavigation,0.0722,0.086,0.0856,0.0834,0.0857,0.0819,0.0817,0.0765,0.0855,,,,,,,,,,
Robotics_PIDTuning,0.0366,0.1632,0.151,0.1521,0.1515,0.1556,0.1585,0.1422,0.1514,,,,,,,,,,
Robotics_QuadrupedGaitOptimization,0.0218,0.0219,0.0749,0.0218,0.1085,0.0218,0.0227,0.0232,0.0218,,,,,,,,,,
Robotics_RobotArmCycleTimeOptimization,0.2922,0.4158,0.3923,0.4305,0.4219,0.3923,0.3923,0.3155,0.3256,,,,,,,,,,
Robotics_UAVInspectionCoverageWithWind,28.8519,28.8519,38.8024,28.8519,35.1121,30.7046,55.9109,32.8468,32.1552,,,,,,,,,,
SingleCellAnalysis_predict_modality,0.5467,0.5467,0.5467,0.5467,0.5467,0.5467,0.5467,0.5467,0.5467,,,,,,,,,,
StructuralOptimization_ISCSO2015,-5401.589,-968.4567,-1120.212,-5401.589,-1139.3354,-1167.4424,-1318.7566,-1308.2575,-1302.2288,,,,,,,,,,
StructuralOptimization_ISCSO2023,-77813242.9,-16477799.48,-55182772.3,-20092179.33,-17840974.17,-21468728.26,-30028112.28,-66126744.97,-42625693.78,,,,,,,,,,
StructuralOptimization_TopologyOptimization,-195.9153,-190.1498,-190.3706,-189.3039,-188.4673,-189.3878,-185.7983,-192.8488,-190.0603,,,,,,,,,,
SustainableDataCenterControl_hand_written_control,8.3294,21.5657,15.292,12.9088,19.5978,8.3131,14.2432,30.1873,29.2868,,,,,,,,,,
WirelessChannelSimulation_HighReliableSimulation,192.5193,292.3228,291.9451,232.9071,248.0119,256.1512,245.7082,259.9776,304.0437,,,,,,,,,,
